City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
360,Tecoanapa,MX,16.5167,-98.75,75.0,89,19,4.88,light rain
361,Haines Junction,CA,60.7522,-137.5108,37.35,70,100,4.61,overcast clouds
362,San Juan,AR,-31.5375,-68.5364,61.09,39,5,9.98,clear sky
363,Tura,IN,25.5198,90.2201,76.93,49,100,3.44,overcast clouds
364,Tateyama,JP,34.9833,139.8667,61.75,88,81,12.08,broken clouds
365,Natal,BR,-5.795,-35.2094,72.25,94,40,6.91,scattered clouds
366,Santa Maria,BR,-29.6842,-53.8069,71.83,62,100,4.7,light rain
367,Palpa,PE,-14.5336,-75.1856,68.09,68,100,1.41,overcast clouds
368,Arrecife,ES,28.963,-13.5477,66.18,82,20,11.5,few clouds
369,Chapais,CA,49.7834,-74.8492,4.78,96,100,7.31,overcast clouds
370,Araouane,ML,18.9048,-3.5265,67.39,15,91,12.48,overcast clouds
371,Rondonopolis,BR,-16.4708,-54.6356,71.13,76,0,3.47,clear sky
372,San Cristobal,VE,7.7669,-72.225,64.85,97,100,1.59,overcast clouds
373,Muisne,EC,0.6,-80.0333,72.54,85,100,9.64,overcast clouds
374,Vanimo,PG,-2.6741,141.3028,83.37,73,34,5.55,scattered clouds
375,Perry,US,37.2506,-83.1999,29.12,49,0,1.66,clear sky
376,Tezu,IN,27.9167,96.1667,79.93,26,40,2.93,scattered clouds
