City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
237,Madimba,TZ,83.73,scattered clouds,-10.4,40.3333,
238,Santa Rosa,PH,88.09,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
240,Ambovombe,MG,75.16,light rain,-25.1667,46.0833,RELAHARA
251,Nishihara,JP,78.85,scattered clouds,26.1842,127.7558,Minshuku Agaihama
271,Baiao,BR,75.49,broken clouds,-2.7906,-49.6717,Município de Baião
273,Bowen,AU,83.79,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
277,Phonhong,LA,86.7,overcast clouds,18.5007,102.4166,Manyvong Guest House
283,Buala,SB,81.95,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
284,Tambopata,PE,75.63,overcast clouds,-12.7333,-69.1833,Enashawa Lodge
287,Bandarbeyla,SO,80.6,overcast clouds,9.4942,50.8122,JABIR HOTEL
289,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
298,Vao,NC,76.14,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
304,San-Pedro,CI,75.67,overcast clouds,4.7485,-6.6363,Hotel Maria
306,Karratha,AU,84.9,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
309,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
312,Oum Hadjer,TD,77.9,few clouds,13.2954,19.6966,
313,Sola,VU,79.47,few clouds,-13.8833,167.55,Leumerus Bungalows
317,Ruwi,OM,82.09,clear sky,23.5996,58.5507,Al Falaj Hotel
318,Kudahuvadhoo,MV,81.37,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
328,Hindaun,IN,77.88,clear sky,26.7167,77.0167,Shri Ganesham Resort and Water Park
331,Bengkulu,ID,83.46,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
333,Khatra,IN,80.92,overcast clouds,22.9833,86.85,Aranyak Resort Mukutmanipur
337,Fare,PF,78.3,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
339,Sorong,ID,85.15,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
340,Sur,OM,81.64,clear sky,22.5667,59.5289,Sur Plaza Hotel
343,Kavieng,PG,84.67,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
347,Faanui,PF,78.71,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
352,Padang,ID,86.05,few clouds,-0.9492,100.3543,Mercure Padang
359,Magadi,IN,77.16,overcast clouds,12.9667,77.2333,Gobi centre
360,Tecoanapa,MX,75.0,light rain,16.5167,-98.75,Hotel Manglares
363,Tura,IN,76.93,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
374,Vanimo,PG,83.37,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
376,Tezu,IN,79.93,scattered clouds,27.9167,96.1667,Circuit House
