City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Cabinda,AO,2022-11-13 10:00:28,-5.55,12.2,80.91,68,77,8.68
284,Salalah,OM,2022-11-13 10:00:15,17.0151,54.0924,83.93,48,0,11.18
285,Hambantota,LK,2022-11-13 10:02:26,6.1241,81.1185,86.34,79,75,4.61
286,Rognan,NO,2022-11-13 10:02:26,67.0953,15.3878,46.89,95,100,6.22
287,Porto Murtinho,BR,2022-11-13 10:02:27,-21.6989,-57.8825,77.68,65,64,11.12
288,Pervomayskoye,RU,2022-11-13 10:02:27,43.919,46.7102,60.94,39,64,23.09
289,Gigmoto,PH,2022-11-13 10:02:28,13.7796,124.39,80.87,86,69,8.39
290,Sturgis,US,2022-11-13 10:02:28,41.7992,-85.4192,32.25,93,100,3.44
291,Oussouye,SN,2022-11-13 10:02:29,12.485,-16.5469,83.73,47,100,1.3
292,Ostrovnoy,RU,2022-11-13 10:02:29,68.0531,39.5131,34.74,66,100,19.75
293,Quang Ngai,VN,2022-11-13 10:02:29,15.1167,108.8,77.95,86,58,3.33
